id,name,glottocode,year,map_name_full,note
1,Abui,abui1241,2020,Map3,
2,Adang,adan1251,2020,Map3,
3,Blagar,blag1240,2020,Map3,
4,Bukalabang,blag1240,2020,Map3,
5,Di'ang,,2020,Map3,
6,Hamap,hama1240,2020,Map3,
7,Kabola,kabo1247,2020,Map3,
8,Kaera,kaer1234,2020,Map3,
9,Kafoa,kafo1240,2020,Map3,
10,Kamang,kama1365,2020,Map3,
11,Kiraman,kira1248,2020,Map3,
12,Klon,kelo1247,2020,Map3,
13,Kui,kuii1254,2020,Map3,
14,Kula,kula1280,2020,Map3,
15,Manet,mane1265,2020,Map3,
16,Moo,,2020,Map3,
17,Nedebang,nede1245,2020,Map3,
18,Papuna,papu1257,2020,Map3,
19,Reta,rett1240 ,2020,Map3,
20,Sar,sarr1247,2020,Map3,
21,Sawila,sawi1256,2020,Map3,
22,Suboo,sibo1242,2020,Map3,
23,Teiwa,teiw1235,2020,Map3,
24,Tiee,tiay1238,2020,Map3,
25,Wersing,wers1238,2020,Map3,
26,Western Pantar,lamm1241,2020,Map3,
